node,CLUSTER,s_eq,eigenvector_centrality,conexiones_anomalas,indice_frontera,d_anom,p_anom,degree_total
Paulina Núñez Urrutia,0,1.0,0.0,0.0,0.0,0,0.0,2
MrBeast,0,1.0,0.0,0.0,0.0,0,0.0,5
González Urrutia,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Ministerio Secretaría General de la Presidencia,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
"Parlamentarios de UDI, Evópoli, Partido Republicano y Social Cristiano",0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Presidente Gabriel Boric,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Gonzalo Valenzuela,1,1.0,-0.0007776084280277964,0.0,0.0,0,0.0,8
Romina Matorras,0,0.0,0.0,2.0,0.5493061443340549,0,0.0,4
Gonzalo Vecino,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Mendoza,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Mercadona,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Gema Navarro,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Julio Molina,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Organización de Mujeres Empresarias Ejecutivas y Emprendedoras del Uruguay,0,0.0,0.0,2.0,0.5493061443340549,0,0.0,4
Instituto Nacional de Estadística,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Banco Mundial,0,0.0,0.0,2.5,0.626381484247684,0,0.0,5
Sarah Jessica Parker,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Rihanna,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Kim Kardashian,0,0.0,0.0,1.5,0.45814536593707755,0,0.0,3
Kate Moss,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Patricia Lussich,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Valentina Moré,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Ernest Riba,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Jhoandri Silva,0,-1.0,0.0,0.0,0.0,0,0.0,2
Maximiliana Amaro Mamani,-1,-1.0,-0.028002526256876565,0.0,0.0,0,0.0,1
Chilean Ministry of Foreign Affairs,1,1.0,0.001285506463519837,0.0,0.0,0,0.0,1
oposición,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Niusor Dan,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
Foro Palestino,0,0.0,0.0,2.0,0.5493061443340549,0,0.0,4
Dominique Mamberti,-1,-1.0,0.00019323129640056184,0.0,0.0,0,0.0,9
John Njue,-1,-1.0,3.0376226173483224e-05,0.0,0.0,0,0.0,1
Diego Ravelli,-1,-1.0,-1.2285023415110088e-18,0.0,0.0,0,0.0,6
Ernesto Schargrodsky,1,1.0,0.0007776084280277958,0.0,0.0,0,0.0,1
Presidente de la Republica,-1,-1.0,0.0011639406186832021,0.0,0.0,0,0.0,1
Carolina Krefft,0,0.0,0.0,0.5,0.2027325540540822,0,0.0,1
Felipe Alarcón,0,0.0,0.0,2.0,0.5493061443340549,0,0.0,4
Marcio Ferreira Verdi,-1,-1.0,-0.000141712855929057,0.0,0.0,0,0.0,1
Tribunal Electoral del Poder Judicial de la Federación,0,-1.0,0.0,0.0,0.0,0,0.0,8
Tribunal Electoral del Estado de Puebla,0,0.0,0.0,1.0,0.34657359027997264,0,0.0,2
SQM,-1,-0.14285714285714285,-0.025837438498881586,4.714285714285714,0.7469868450251242,0,0.0,11
Arturo Aylwin,0,-1.0,0.0,0.0,0.0,0,0.0,1
ONU,1,1.0,0.0015908584413522593,0.0,0.0,0,0.0,2
